noteInRange,tickStart,tickEnd,pitch,velocity
7,455040,455520,65,70
10,455520,456000,59,90
8,456000,456480,63,70
8,456480,456960,63,90
8,456960,457440,63,90
6,457440,457920,66,90
7,457920,458400,65,90
8,458400,458880,63,110
9,458880,459360,62,90
9,459360,459840,62,70
8,459840,460320,63,70
8,460320,460800,63,90
6,460800,461280,66,90
7,461280,461760,65,110
7,461760,462240,65,90
6,462240,462720,66,90
8,462720,463200,63,90
8,463200,463680,63,110
6,463680,464160,66,90
7,464160,464640,65,90
8,464640,465120,63,110
8,465120,465600,63,110
7,465600,466080,65,110
6,466080,466560,66,90
8,466560,467040,63,70
9,467040,467520,62,110
6,467520,468000,66,90
7,468000,468480,65,90
6,468480,468960,66,70
7,468960,469440,65,90
4,469440,469920,70,110
3,469920,470400,71,110
5,470400,470880,68,90
6,470880,471360,66,70
6,471360,471840,66,90
7,471840,472320,65,90
5,472320,472800,68,90
6,472800,473280,66,90
7,473280,473760,65,90
6,473760,474240,66,90
8,474240,474720,63,110
8,474720,475200,63,90
8,475200,475680,63,70
9,475680,476160,62,70
10,476160,476640,59,110
11,476640,477120,58,70
13,477120,477600,54,70
14,477600,478080,53,90
9,478080,478560,62,90
8,478560,479040,63,90
8,479040,479520,63,70
6,479520,480000,66,90
4,480000,480480,70,110
5,480480,480960,68,110
5,480960,481440,68,110
6,481440,481920,66,70
7,481920,482400,65,70
6,482400,482880,66,90
5,482880,483360,68,110
5,483360,483840,68,90
9,483840,484320,62,90
8,484320,484800,63,90
9,484800,485280,62,90
8,485280,485760,63,90
8,485760,486240,63,90
8,486240,486720,63,90
9,486720,487200,62,90
9,487200,487680,62,90
8,487680,488160,63,90
6,488160,488640,66,90
8,488640,489120,63,90
7,489120,489600,65,70
6,489600,490080,66,90
5,490080,490560,68,70
7,490560,491040,65,110
7,491040,491520,65,110
6,491520,492000,66,70
6,492000,492480,66,90
8,492480,492960,63,90
10,492960,493440,59,70
9,493440,493920,62,90
8,493920,494400,63,110
8,494400,494880,63,90
7,494880,495360,65,70
4,495360,495840,70,90
6,495840,496320,66,90
6,496320,496800,66,70
6,496800,497280,66,110
7,497280,497760,65,90
6,497760,498240,66,70
6,498240,498720,66,110
5,498720,499200,68,90
4,499200,499680,70,90
6,499680,500160,66,90
3,500160,500640,71,110
5,500640,501120,68,90
6,501120,501600,66,70
4,501600,502080,70,110
6,502080,502560,66,110
8,502560,503040,63,70
8,503040,503520,63,90
6,503520,504000,66,90
6,504000,504480,66,90
7,504480,504960,65,110
6,504960,505440,66,90
7,505440,505920,65,70
6,505920,506400,66,90
6,506400,506880,66,90
7,506880,507360,65,90
6,507360,507840,66,110
6,507840,508320,66,90
8,508320,508800,63,70
6,508800,509280,66,90
6,509280,509760,66,90
7,509760,510240,65,90
5,510240,510720,68,110
5,510720,511200,68,110
4,511200,511680,70,90
2,511680,512160,74,90
4,512160,512640,70,90
6,512640,513120,66,90
5,513120,513600,68,70
8,513600,514080,63,90
9,514080,514560,62,90
7,514560,515040,65,90
7,515040,515520,65,90
7,515520,516000,65,90
5,516000,516480,68,90
8,516480,516960,63,70
6,516960,517440,66,90
6,517440,517920,66,90
7,517920,518400,65,90
8,518400,518880,63,90
9,518880,519360,62,70
6,519360,519840,66,90
7,519840,520320,65,90
5,520320,520800,68,70
5,520800,521280,68,70
6,521280,521760,66,90
6,521760,522240,66,90
7,522240,522720,65,110
9,522720,523200,62,90
10,523200,523680,59,90
9,523680,524160,62,110
7,524160,524640,65,110
7,524640,525120,65,70
8,525120,525600,63,90
10,525600,526080,59,90
11,526080,526560,58,90
11,526560,527040,58,70
10,527040,527520,59,110
8,527520,528000,63,70
8,528000,528480,63,90
8,528480,528960,63,90
8,528960,529440,63,90
9,529440,529920,62,90
8,529920,530400,63,110
8,530400,530880,63,70
6,530880,531360,66,90
7,531360,531840,65,90
7,531840,532320,65,70
7,532320,532800,65,70
7,532800,533280,65,70
7,533280,533760,65,90
6,533760,534240,66,90
4,534240,534720,70,90
9,534720,535200,62,70
9,535200,535680,62,90
8,535680,536160,63,70
9,536160,536640,62,70
8,536640,537120,63,90
7,537120,537600,65,90
10,537600,538080,59,70
8,538080,538560,63,90
6,538560,539040,66,90
4,539040,539520,70,90
4,539520,540000,70,70
7,540000,540480,65,70
7,540480,540960,65,70
7,540960,541440,65,90
9,541440,541920,62,110
7,541920,542400,65,90
7,542400,542880,65,70
9,542880,543360,62,90
11,543360,543840,58,90
9,543840,544320,62,110
7,544320,544800,65,90
8,544800,545280,63,90
8,545280,545760,63,90
9,545760,546240,62,110
7,546240,546720,65,70
6,546720,547200,66,70
9,547200,547680,62,90
9,547680,548160,62,90
6,548160,548640,66,70
8,548640,549120,63,90
6,549120,549600,66,110
5,549600,550080,68,90
6,550080,550560,66,90
7,550560,551040,65,90
7,551040,551520,65,90
7,551520,552000,65,90
7,552000,552480,65,90
4,552480,552960,70,110
5,552960,553440,68,90
4,553440,553920,70,90
6,553920,554400,66,110
7,554400,554880,65,110
5,554880,555360,68,90
5,555360,555840,68,110
6,555840,556320,66,70
